Field,null_values,type
id,0,int64
listing_url,0,object
scrape_id,0,int64
last_scraped,0,object
name,23,object
description,3126,object
neighborhood_overview,29439,object
picture_url,0,object
host_id,0,int64
host_url,0,object
host_name,1981,object
host_since,1981,object
host_location,2161,object
host_about,34283,object
host_response_time,41905,object
host_response_rate,41905,object
host_acceptance_rate,39343,object
host_is_superhost,1981,object
host_thumbnail_url,1981,object
host_picture_url,1981,object
host_neighbourhood,19561,object
host_listings_count,1981,float64
host_total_listings_count,1981,float64
host_verifications,0,object
host_has_profile_pic,1981,object
host_identity_verified,1981,object
neighbourhood,29438,object
neighbourhood_cleansed,0,object
neighbourhood_group_cleansed,74840,float64
latitude,0,float64
longitude,0,float64
property_type,0,object
room_type,0,object
accommodates,0,int64
bathrooms,74840,float64
bathrooms_text,173,object
bedrooms,4677,float64
beds,1192,float64
amenities,0,object
price,0,object
minimum_nights,0,int64
maximum_nights,0,int64
minimum_minimum_nights,3,float64
maximum_minimum_nights,3,float64
minimum_maximum_nights,3,float64
maximum_maximum_nights,3,float64
minimum_nights_avg_ntm,3,float64
maximum_nights_avg_ntm,3,float64
calendar_updated,74840,float64
has_availability,0,object
availability_30,0,int64
availability_60,0,int64
availability_90,0,int64
availability_365,0,int64
calendar_last_scraped,0,object
number_of_reviews,0,int64
number_of_reviews_ltm,0,int64
number_of_reviews_l30d,0,int64
first_review,22221,object
last_review,22221,object
review_scores_rating,23901,float64
review_scores_accuracy,23958,float64
review_scores_cleanliness,23950,float64
review_scores_checkin,24005,float64
review_scores_communication,23957,float64
review_scores_location,24001,float64
review_scores_value,24002,float64
license,74840,float64
instant_bookable,0,object
calculated_host_listings_count,0,int64
calculated_host_listings_count_entire_homes,0,int64
calculated_host_listings_count_private_rooms,0,int64
calculated_host_listings_count_shared_rooms,0,int64
reviews_per_month,22221,float64
