,columns,null_values
0,id,0
1,listing_url,0
2,scrape_id,0
3,last_scraped,0
4,name,23
5,description,3126
6,neighborhood_overview,29439
7,picture_url,0
8,host_id,0
9,host_url,0
10,host_name,1981
11,host_since,1981
12,host_location,2161
13,host_about,34283
14,host_response_time,41905
15,host_response_rate,41905
16,host_acceptance_rate,39343
17,host_is_superhost,1981
18,host_thumbnail_url,1981
19,host_picture_url,1981
20,host_neighbourhood,19561
21,host_listings_count,1981
22,host_total_listings_count,1981
23,host_verifications,0
24,host_has_profile_pic,1981
25,host_identity_verified,1981
26,neighbourhood,29438
27,neighbourhood_cleansed,0
28,neighbourhood_group_cleansed,74840
29,latitude,0
30,longitude,0
31,property_type,0
32,room_type,0
33,accommodates,0
34,bathrooms,74840
35,bathrooms_text,173
36,bedrooms,4677
37,beds,1192
38,amenities,0
39,price,0
40,minimum_nights,0
41,maximum_nights,0
42,minimum_minimum_nights,3
43,maximum_minimum_nights,3
44,minimum_maximum_nights,3
45,maximum_maximum_nights,3
46,minimum_nights_avg_ntm,3
47,maximum_nights_avg_ntm,3
48,calendar_updated,74840
49,has_availability,0
50,availability_30,0
51,availability_60,0
52,availability_90,0
53,availability_365,0
54,calendar_last_scraped,0
55,number_of_reviews,0
56,number_of_reviews_ltm,0
57,number_of_reviews_l30d,0
58,first_review,22221
59,last_review,22221
60,review_scores_rating,23901
61,review_scores_accuracy,23958
62,review_scores_cleanliness,23950
63,review_scores_checkin,24005
64,review_scores_communication,23957
65,review_scores_location,24001
66,review_scores_value,24002
67,license,74840
68,instant_bookable,0
69,calculated_host_listings_count,0
70,calculated_host_listings_count_entire_homes,0
71,calculated_host_listings_count_private_rooms,0
72,calculated_host_listings_count_shared_rooms,0
73,reviews_per_month,22221
